Name: dirt
X Units: Wavelength (micrometers)
First X Value:  0.4000
Last X Value: 2.5000

0.4 0
0.41039 0.00962264
0.420779 0.0324528
0.431169 0.0624528
0.441558 0.0728302
0.451948 0.0815094
0.462337 0.0862264
0.472727 0.0879245
0.483116 0.0881132
0.493506 0.0932075
0.503895 0.0962264
0.514285 0.102642
0.524674 0.108679
0.535064 0.113396
0.545453 0.118113
0.555843 0.12283
0.566232 0.126038
0.576622 0.129057
0.587011 0.129057
0.597401 0.133396
0.60779 0.135094
0.61818 0.138113
0.628569 0.142642
0.638959 0.14717
0.649348 0.148113
0.659738 0.152075
0.670127 0.15566
0.680517 0.158302
0.690906 0.160189
0.701296 0.160189
0.711685 0.166038
0.722075 0.173774
0.732464 0.188868
0.742854 0.211698
0.753243 0.235094
0.763633 0.259057
0.774022 0.276604
0.784412 0.289057
0.794801 0.301509
0.805191 0.310377
0.81558 0.323585
0.82597 0.332075
0.836359 0.337736
0.846749 0.345849
0.857138 0.350377
0.867528 0.359057
0.877917 0.366415
0.888307 0.372264
0.898696 0.378679
0.909086 0.38566
0.919475 0.390566
0.929865 0.400377
0.940254 0.406604
0.950644 0.413396
0.961033 0.420943
0.971423 0.424717
0.981812 0.427358
0.992202 0.433396
1.00259 0.438302
1.01298 0.438491
1.02337 0.444906
1.03376 0.444528
1.04415 0.448491
1.05454 0.45283
1.06493 0.456226
1.07532 0.460566
1.08571 0.466038
1.0961 0.469434
1.10649 0.47566
1.11688 0.477358
1.12726 0.485472
1.13765 0.488679
1.14804 0.498868
1.15843 0.496792
1.16882 0.503396
1.17921 0.501132
1.1896 0.501321
1.19999 0.506415
1.21038 0.504717
1.22077 0.503774
1.23116 0.500943
1.24155 0.500189
1.25194 0.501698
1.26233 0.501132
1.27272 0.508302
1.28311 0.511132
1.2935 0.516792
1.30389 0.524906
1.31427 0.531509
1.32466 0.532264
1.33505 0.54
1.34544 0.541321
1.35583 0.546038
1.36622 0.544906
1.37661 0.556604
1.387 0.554906
1.39739 0.551509
1.40778 0.553962
1.41817 0.567736
1.42856 0.586604
1.43895 0.594151
1.44934 0.597736
1.45973 0.611509
1.47012 0.629057
1.48051 0.435849
1.4909 0.411509
1.50128 0.393396
1.51167 0.400566
1.52206 0.385094
1.53245 0.386792
1.54284 0.397736
1.55323 0.397736
1.56362 0.405472
1.57401 0.416792
1.5844 0.426415
1.59479 0.437358
1.60518 0.44717
1.61557 0.452642
1.62596 0.460943
1.63635 0.466792
1.64674 0.479623
1.65713 0.485094
1.66752 0.493585
1.67791 0.501509
1.68829 0.510189
1.69868 0.516981
1.70907 0.523019
1.71946 0.531887
1.72985 0.531321
1.74024 0.528868
1.75063 0.530943
1.76102 0.529434
1.77141 0.521509
1.7818 0.513585
1.79219 0.512641
1.80258 0.506226
1.81297 0.503774
1.82336 0.505283
1.83375 0.505472
1.84414 0.512453
1.85453 0.526226
1.86492 0.52717
1.8753 0.536226
1.88569 0.563774
1.89608 0.603585
1.90647 0.34434
1.91686 0.35434
1.92725 0.351698
1.93764 0.356038
1.94803 0.368302
1.95842 0.370566
1.96881 0.38283
1.9792 0.390943
1.98959 0.366981
1.99998 0.373585
2.01037 0.369811
2.02076 0.363585
2.03115 0.363208
2.04154 0.361698
2.05193 0.35283
2.06232 0.348302
2.07271 0.34434
2.08309 0.342642
2.09348 0.34283
2.10387 0.343962
2.11426 0.35
2.12465 0.35566
2.13504 0.364717
2.14543 0.364528
2.15582 0.364717
2.16621 0.375849
2.1766 0.383019
2.18699 0.380755
2.19738 0.376415
2.20777 0.369623
2.21816 0.361509
2.22855 0.353396
2.23894 0.340377
2.24933 0.317358
2.25972 0.308113
2.27011 0.304906
2.2805 0.304717
2.29089 0.28566
2.30128 0.28566
2.31167 0.282453
2.32205 0.284528
2.33244 0.293585
2.34283 0.294906
2.35322 0.288868
2.36361 0.289811
2.374 0.292075
2.38439 0.292453
2.39478 0.27283
2.40517 0.277547
2.41556 0.261698
2.42595 0.250189
2.43634 0.239245
2.44673 0.230189
