Name: road
First X Value:  0.4000
Last X Value: 2.5000

0.4 0.0439623
0.41039 0.0524528
0.420779 0.122453
0.431169 0.183585
0.441558 0.238868
0.451948 0.259623
0.462337 0.268491
0.472727 0.277359
0.483116 0.282453
0.493506 0.287736
0.503895 0.296792
0.514285 0.305472
0.524674 0.310377
0.535064 0.316415
0.545453 0.319245
0.555843 0.326226
0.566232 0.329623
0.576622 0.33434
0.587011 0.337925
0.597401 0.339434
0.60779 0.342075
0.61818 0.342264
0.628569 0.343585
0.638959 0.346604
0.649348 0.349245
0.659738 0.349245
0.670127 0.349434
0.680517 0.353962
0.690906 0.35717
0.701296 0.357358
0.711685 0.361321
0.722075 0.370755
0.732464 0.374151
0.742854 0.375472
0.753243 0.376226
0.763633 0.377547
0.774022 0.374717
0.784412 0.377736
0.794801 0.376981
0.805191 0.390943
0.81558 0.389811
0.82597 0.395849
0.836359 0.397925
0.846749 0.401509
0.857138 0.401887
0.867528 0.406415
0.877917 0.408868
0.888307 0.408679
0.898696 0.413774
0.909086 0.414906
0.919475 0.417358
0.929865 0.418868
0.940254 0.421509
0.950644 0.427925
0.961033 0.429811
0.971423 0.431509
0.981812 0.431132
0.992202 0.434906
1.00259 0.437925
1.01298 0.435472
1.02337 0.441698
1.03376 0.441887
1.04415 0.438491
1.05454 0.440755
1.06493 0.439811
1.07532 0.442264
1.08571 0.440755
1.0961 0.444906
1.10649 0.44434
1.11688 0.443962
1.12726 0.446792
1.13765 0.449245
1.14804 0.455283
1.15843 0.451509
1.16882 0.45283
1.17921 0.452264
1.1896 0.450943
1.19999 0.455094
1.21038 0.456038
1.22077 0.455849
1.23116 0.460566
1.24155 0.454528
1.25194 0.45566
1.26233 0.457547
1.27272 0.46
1.28311 0.464717
1.2935 0.462453
1.30389 0.465283
1.31427 0.468302
1.32466 0.469245
1.33505 0.470377
1.34544 0.476226
1.35583 0.47717
1.36622 0.476038
1.37661 0.475094
1.387 0.479057
1.39739 0.476038
1.40778 0.479434
1.41817 0.489245
1.42856 0.507358
1.43895 0.514151
1.44934 0.525283
1.45973 0.530943
1.47012 0.605094
1.48051 0.530755
1.4909 0.472453
1.50128 0.470755
1.51167 0.472453
1.52206 0.458302
1.53245 0.451887
1.54284 0.462453
1.55323 0.452264
1.56362 0.452642
1.57401 0.457736
1.5844 0.460189
1.59479 0.464528
1.60518 0.467358
1.61557 0.468302
1.62596 0.469623
1.63635 0.472453
1.64674 0.476792
1.65713 0.476792
1.66752 0.477736
1.67791 0.483396
1.68829 0.48283
1.69868 0.486226
1.70907 0.486792
1.71946 0.488491
1.72985 0.487358
1.74024 0.485094
1.75063 0.483585
1.76102 0.48717
1.77141 0.485283
1.7818 0.483208
1.79219 0.482453
1.80258 0.482453
1.81297 0.478679
1.82336 0.481132
1.83375 0.486981
1.84414 0.493962
1.85453 0.508491
1.86492 0.528113
1.8753 0.528868
1.88569 0.553774
1.89608 0.577358
1.90647 0.467547
1.91686 0.485472
1.92725 0.489057
1.93764 0.458302
1.94803 0.445849
1.95842 0.453208
1.96881 0.460943
1.9792 0.480189
1.98959 0.453585
1.99998 0.465283
2.01037 0.464151
2.02076 0.475849
2.03115 0.486038
2.04154 0.48283
2.05193 0.474906
2.06232 0.477358
2.07271 0.465094
2.08309 0.463396
2.09348 0.452075
2.10387 0.450943
2.11426 0.449811
2.12465 0.445472
2.13504 0.44566
2.14543 0.449434
2.15582 0.447547
2.16621 0.452264
2.1766 0.444528
2.18699 0.441887
2.19738 0.428679
2.20777 0.428868
2.21816 0.42283
2.22855 0.416038
2.23894 0.412453
2.24933 0.406981
2.25972 0.39283
2.27011 0.388113
2.2805 0.380189
2.29089 0.373396
2.30128 0.374151
2.31167 0.371509
2.32205 0.366226
2.33244 0.37717
2.34283 0.383208
2.35322 0.392453
2.36361 0.390377
2.374 0.383585
2.38439 0.383208
2.39478 0.375094
2.40517 0.382075
2.41556 0.361698
2.42595 0.358868
2.43634 0.345849
2.44673 0.343208
