Name: water
X Units: Wavelength (micrometers)
First X Value:  0.4000
Last X Value: 2.5000

0.4 0
0.41039 0.00892802
0.420779 0.0315416
0.431169 0.0609154
0.441558 0.0731502
0.451948 0.0832341
0.462337 0.0889098
0.472727 0.0928232
0.483116 0.09684
0.493506 0.102744
0.503895 0.108626
0.514285 0.114338
0.524674 0.120584
0.535064 0.126018
0.545453 0.130541
0.555843 0.134843
0.566232 0.139196
0.576622 0.142577
0.587011 0.143215
0.597401 0.137227
0.60779 0.123474
0.61818 0.110284
0.628569 0.106976
0.638959 0.103913
0.649348 0.100632
0.659738 0.0968749
0.670127 0.0904109
0.680517 0.0839748
0.690906 0.0804738
0.701296 0.0846024
0.711685 0.0826723
0.722075 0.0801985
0.732464 0.0736716
0.742854 0.063972
0.753243 0.052341
0.763633 0.0394647
0.774022 0.0299567
0.784412 0.0262432
0.794801 0.025522
0.805191 0.0237317
0.81558 0.0231223
0.82597 0.0258742
0.836359 0.026492
0.846749 0.0275192
0.857138 0.0278197
0.867528 0.0267617
0.877917 0.0255765
0.888307 0.0235933
0.898696 0.0233809
0.909086 0.0229616
0.919475 0.0229839
0.929865 0.0226261
0.940254 0.0223326
0.950644 0.0215332
0.961033 0.0203508
0.971423 0.0203606
0.981812 0.0206541
0.992202 0.0153627
1.00259 0.0120182
1.01298 0.0131824
1.02337 0.0170287
1.03376 0.0187659
1.04415 0.0190524
1.05454 0.0196087
1.06493 0.019624
1.07532 0.0197652
1.08571 0.0197904
1.0961 0.019979
1.10649 0.0200727
1.11688 0.0202362
1.12726 0.0202502
1.13765 0.0204514
1.14804 0.0205577
1.15843 0.0205409
1.16882 0.0202683
1.17921 0.0196003
1.1896 0.0161551
1.19999 0.0102781
1.21038 0.0124137
1.22077 0.0126751
1.23116 0.0143592
1.24155 0.0182753
1.25194 0.019079
1.26233 0.0189043
1.27272 0.0193208
1.28311 0.0195597
1.2935 0.0195765
1.30389 0.0197722
1.31427 0.0199972
1.32466 0.0199734
1.33505 0.0200699
1.34544 0.0208931
1.35583 0.0245577
1.36622 0.0223326
1.37661 0.0225674
1.387 0.0224864
1.39739 0.0227114
1.40778 0.0226876
1.41817 0.0227547
1.42856 0.0228372
1.43895 0.0227086
1.44934 0.0214773
1.45973 0.0194396
1.47012 0.00896296
1.48051 0.00433962
1.4909 0.0090594
1.50128 0.0115947
1.51167 0.0139315
1.52206 0.0141104
1.53245 0.0145101
1.54284 0.0139161
1.55323 0.0155947
1.56362 0.0176646
1.57401 0.0182572
1.5844 0.018499
1.59479 0.0190189
1.60518 0.0190971
1.61557 0.0191586
1.62596 0.0192173
1.63635 0.0194703
1.64674 0.0195681
1.65713 0.0196184
1.66752 0.0196408
1.67791 0.0199693
1.68829 0.0197582
1.69868 0.019863
1.70907 0.0196394
1.71946 0.0198169
1.72985 0.0196464
1.74024 0.0196087
1.75063 0.0196003
1.76102 0.0194228
1.77141 0.0193305
1.7818 0.0193781
1.79219 0.0192173
1.80258 0.0188581
1.81297 0.0185367
1.82336 0.0181495
1.83375 0.0181509
1.84414 0.0176604
1.85453 0.0181286
1.86492 0.0169923
1.8753 0.017406
1.88569 0.0147449
1.89608 0.010376
1.90647 0.0206667
1.91686 0.0218337
1.92725 0.0182907
1.93764 0.0179874
1.94803 0.0173836
1.95842 0.0177876
1.96881 0.0182907
1.9792 0.0189993
1.98959 0.0178281
1.99998 0.0177456
2.01037 0.0179679
2.02076 0.0183256
2.03115 0.0186848
2.04154 0.018239
2.05193 0.0181048
2.06232 0.0180964
2.07271 0.0178323
2.08309 0.017747
2.09348 0.0175136
2.10387 0.0173208
2.11426 0.0169909
2.12465 0.0167897
2.13504 0.0171083
2.14543 0.0169546
2.15582 0.0169644
2.16621 0.0167212
2.1766 0.016717
2.18699 0.0171433
2.19738 0.0164668
2.20777 0.0160419
2.21816 0.0161286
2.22855 0.0162683
2.23894 0.015898
2.24933 0.0163215
2.25972 0.0155933
2.27011 0.0152159
2.2805 0.0151209
2.29089 0.0149462
2.30128 0.0152425
2.31167 0.0150776
2.32205 0.0150091
2.33244 0.0151768
2.34283 0.0147379
2.35322 0.014819
2.36361 0.0146136
2.374 0.0147994
2.38439 0.0147421
2.39478 0.0140042
2.40517 0.0144249
2.41556 0.0142767
2.42595 0.0143396
2.43634 0.0135388
2.44673 0.0121985
